 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 0 	155 	7 	7 	2.0 	70
 0 	156 	7 	7 	2.0 	70
 0 	157 	7 	7 	2.0 	70
 0 	158 	7 	7 	2.0 	71
 0 	159 	7 	7 	2.0 	71
 0 	160 	7 	7 	2.0 	72
 0 	161 	7 	7 	2.0 	72
 0 	162 	7 	7 	2.0 	73
 0 	163 	7 	7 	2.0 	73
 0 	164 	7 	7 	2.0 	73
 0 	165 	7 	7 	2.0 	73
 0 	166 	7 	7 	2.0 	74
 0 	167 	7 	7 	2.0 	74
 0 	168 	7 	7 	2.0 	75
 0 	169 	7 	7 	2.0 	76
 0 	170 	7 	7 	2.0 	76
 0 	171 	7 	7 	2.0 	76
 0 	172 	7 	7 	2.0 	76
 0 	173 	7 	7 	2.0 	77
 0 	174 	7 	7 	2.0 	77
 0 	175 	7 	7 	2.0 	77
 0 	176 	7 	7 	2.0 	77
 0 	177 	7 	7 	2.0 	77
 0 	178 	7 	7 	2.0 	78
 0 	179 	7 	7 	2.0 	79
 0 	180 	7 	7 	2.0 	80
 0 	181 	7 	7 	2.0 	81
 0 	182 	7 	7 	2.0 	81
 0 	183 	7 	7 	2.0 	82
 0 	184 	7 	7 	2.0 	82
 0 	185 	7 	7 	2.0 	83
 0 	186 	7 	7 	2.0 	84
 0 	187 	7 	7 	2.0 	85
 0 	188 	7 	7 	2.0 	85
 0 	189 	7 	7 	2.0 	85
 0 	190 	7 	7 	2.0 	86
 0 	191 	7 	7 	2.0 	87
 0 	192 	7 	7 	2.0 	87
 0 	193 	7 	7 	2.0 	87
 0 	194 	7 	7 	2.0 	88
 0 	195 	7 	7 	2.0 	89
 0 	196 	7 	7 	2.0 	89
 0 	197 	7 	7 	2.0 	90
 0 	198 	7 	7 	2.0 	91
 0 	199 	7 	7 	2.0 	91
 1 	0 	16 	0 	-1 	1
 1 	1 	16 	0 	-1 	1
 1 	2 	16 	0 	-1 	1
 1 	3 	16 	0 	-1 	1
 1 	4 	16 	0 	-1 	1
 1 	5 	16 	0 	-1 	1
 1 	6 	16 	0 	-1 	1
 1 	7 	16 	0 	-1 	1
 1 	8 	16 	0 	-1 	1
 1 	9 	16 	0 	-1 	1
 1 	10 	16 	0 	-1 	1
 1 	11 	16 	0 	-1 	1
 1 	12 	16 	0 	-1 	1
 1 	13 	16 	0 	-1 	1
 1 	14 	16 	0 	-1 	1
 1 	15 	16 	0 	-1 	1
 1 	16 	16 	0 	-1 	1
 1 	17 	16 	0 	-1 	1
 1 	18 	16 	0 	-1 	1
 1 	19 	16 	0 	-1 	1
 1 	20 	16 	0 	-1 	1
 1 	21 	16 	0 	-1 	1
 1 	22 	16 	0 	-1 	1
 1 	23 	16 	0 	-1 	1
 1 	24 	16 	0 	-1 	1
 1 	25 	16 	0 	-1 	1
 1 	26 	16 	0 	-1 	1
 1 	27 	16 	0 	-1 	1
 1 	28 	16 	0 	-1 	1
 1 	29 	16 	0 	-1 	1
 1 	30 	14 	1 	3.0 	2
 1 	31 	13 	1 	3.0 	2
 1 	32 	14 	1 	3.0 	2
 1 	33 	14 	1 	3.0 	2
 1 	34 	14 	1 	3.0 	2
 1 	35 	13 	1 	3.0 	2
 1 	36 	13 	1 	3.0 	2
 1 	37 	13 	2 	3.0 	3
 1 	38 	13 	2 	2.66666666667 	4
 1 	39 	12 	3 	3.33333333333 	5
 1 	40 	12 	3 	3.33333333333 	5
 1 	41 	13 	3 	3.33333333333 	5
 1 	42 	12 	3 	3.33333333333 	5
 1 	43 	12 	3 	3.33333333333 	6
 1 	44 	12 	3 	3.33333333333 	6
 1 	45 	12 	3 	3.33333333333 	6
 1 	46 	12 	3 	3.33333333333 	6
 1 	47 	12 	3 	3.33333333333 	6
 1 	48 	12 	3 	3.33333333333 	6
 1 	49 	11 	3 	2.33333333333 	7
 1 	50 	12 	3 	2.33333333333 	7
 1 	51 	12 	3 	2.33333333333 	7
 1 	52 	12 	3 	1.66666666667 	8
 1 	53 	11 	4 	1.66666666667 	9
 1 	54 	12 	4 	1.66666666667 	9
 1 	55 	11 	4 	1.66666666667 	10
 1 	56 	11 	4 	1.66666666667 	10
 1 	57 	11 	4 	1.66666666667 	11
 1 	58 	11 	4 	1.66666666667 	11
 1 	59 	11 	4 	1.66666666667 	12
 1 	60 	11 	4 	1.66666666667 	13
 1 	61 	11 	4 	1.66666666667 	13
 1 	62 	11 	4 	1.66666666667 	13
 1 	63 	11 	4 	1.66666666667 	13
 1 	64 	11 	4 	1.66666666667 	14
 1 	65 	10 	4 	1.66666666667 	14
 1 	66 	11 	4 	1.66666666667 	14
 1 	67 	11 	4 	1.66666666667 	14
 1 	68 	11 	4 	1.66666666667 	15
 1 	69 	11 	4 	1.66666666667 	15
 1 	70 	11 	4 	1.66666666667 	15
 1 	71 	11 	4 	1.66666666667 	15
 1 	72 	11 	4 	1.66666666667 	15
 1 	73 	11 	4 	1.66666666667 	15
 1 	74 	10 	4 	1.66666666667 	16
 1 	75 	10 	4 	1.66666666667 	17
 1 	76 	11 	4 	1.66666666667 	18
 1 	77 	11 	4 	1.66666666667 	19
 1 	78 	11 	4 	1.66666666667 	19
 1 	79 	10 	4 	1.66666666667 	20
 1 	80 	11 	4 	1.66666666667 	20
 1 	81 	11 	4 	1.66666666667 	20
 1 	82 	11 	4 	1.66666666667 	21
 1 	83 	11 	4 	1.66666666667 	21
 1 	84 	10 	4 	1.66666666667 	22
 1 	85 	10 	4 	1.66666666667 	22
 1 	86 	11 	4 	1.66666666667 	23
 1 	87 	10 	4 	1.66666666667 	24
 1 	88 	10 	4 	1.66666666667 	25
 1 	89 	11 	5 	1.66666666667 	26
 1 	90 	10 	5 	1.66666666667 	26
 1 	91 	10 	5 	1.66666666667 	27
 1 	92 	11 	5 	1.66666666667 	27
 1 	93 	10 	5 	1.66666666667 	28
 1 	94 	10 	5 	1.66666666667 	28
 1 	95 	10 	5 	1.66666666667 	28
 1 	96 	10 	5 	1.66666666667 	29
 1 	97 	10 	5 	1.66666666667 	30
 1 	98 	10 	5 	1.66666666667 	31
 1 	99 	9 	5 	1.66666666667 	31
 1 	100 	9 	5 	1.66666666667 	32
